judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Carol A Cocchiola,County Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Broome,Broome County Court,2014,6,Town & Villiage,,,,
Margaret W Martin,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Kings,Kings Supreme Criminal,2017,,,,,,
Hyun Chin Kim,County Judge,,2021-01-01,2030-12-31,Orange,Orange County Supreme Court,2021,,,,,,
Jonathan G Schopf,Surrogate Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Saratoga,Saratoga County Surrogate's Ct,2024,,,,,,
Paul A Goetz,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,New York,"NYC Civil Ct, New York County",2012,,,,,,
Robert D Hettleman,Family Court Judge NYC,,2022-12-01,2032-11-30,Kings,Kings Supreme Criminal,2021,,,,,,
Onya Brinson,Civil Court Judge NYC,,2026-01-01,2035-12-31,New York,New York County Criminal Court,2026,,,,,,
Marisa Franchini,City Court Judge,,2026-01-01,2035-12-31,Albany,"Albany City Court, Civil/Traff",2025,,,,,,
Alexis N Riley,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Civil Court, Kings County",2025,,,,,,
Karen D EdelmanReyes,County Judge,,2026-01-01,2035-12-31,Dutchess,Dutchess County Supreme Court,2026,,,,,,
Hasa A Kingo,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,New York,New York County Supreme Court,2022,,,,,,
LaToya S Lee,City Court Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Monroe,Monroe County Supreme Court,2022,,,,,,
Elena Baron,Civil Court Judge NYC,,2018-01-01,2027-12-31,Kings,"NYC Civil Court, Kings County",2018,,,,,,
Margaret M Reston,City Court Judge,ACT CNTY JGE,2026-01-01,2035-12-31,Ontario,Canandaigua City Court,2025,,,,,,
Marty J Lentz,Criminal Court Judge NYC,,2022-12-16,2033-11-30,Queens,Queens Supreme Criminal Term,2021,,,,,,
Eugene D Bowen,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx,Bronx County Supreme Court,2023,,,,,,
Frederick C Arriaga,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Kings,"NYC Criminal Ct, Kings County",2008,,,,,,
Jonathan H Shim,Family Court Judge NYC,,2021-12-01,2028-04-23,New York,New York County Family Court,2018,,,,,,
Diane E Plumley,Family Court Judge,,2024-01-01,2033-12-31,Onondaga,Oneida County Family Court,2024,,,,,,
Samuel P DavisSr,City Court Judge,,2023-01-01,2032-12-31,Erie,Buffalo City Court,2022,,,,,,
Eunhai G Park,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Bronx,Bronx County Supreme Court,2020,,,,,,
Amanda E White,Family Court Judge NYC,,2022-08-31,2032-08-30,New York,New York County Family Court,2011,,,,,,
Deepa Ambekar,Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Kings,Kings Supreme Criminal,2018,,,,,,
Maurice D Williams,County Judge,,2023-01-01,2032-12-31,Rockland,Rockland County Supreme Court,2023,,,,,,
Bryan L Browns,County Judge,ACT SUP CT JUS,2026-01-01,2035-12-31,Suffolk,Suffolk County Court,2026,,,,,,
Lola OguntundeWaterman,Civil Court Judge NYC,ACT FAM CT JGE,2024-01-01,2033-12-31,Kings,Kings Supreme Criminal,2024,,,,,,
Shekera Anessa Algarin,Civil Court Judge NYC,,2026-01-01,2035-12-31,Bronx,Bronx County Sup Ct Civil Term,2026,,,,,,
Paul D Trachte,City Court Judge,,2025-01-01,2033-12-31,Orange,Newburgh City Court,2015,,,,,,
Nabeela Mcleod,Family Court Judge,,2026-01-01,2035-12-31,Rockland,Rockland County Family Court,2026,,,,,,
Sherveal R Mimes,Civil Court Judge NYC,,2023-01-01,2032-12-31,Kings,"NYC Civil Court, Kings County",2023,,,,,,
Adetokunbo O Fasanya,Family Court Judge NYC,,2025-01-01,2033-12-31,Queens,Queens County Family Court,2013,,,,,,
Thomas Wright,Civil Court Judge NYC,,2026-01-01,2035-12-31,Queens,Queens Supreme Criminal Term,2026,,,,,,
Tandra L Dawson,Family Court Judge NYC,ACT SUP CT JUS,2025-02-10,2026-12-31,New York,"NYC Civil Ct, New York County",1998,,,,,,
Kristin L Garland,City Court Judge,,2025-01-03,2031-01-02,Cayuga,Cayuga County Court (M-B),2019,,,,,,
Harold E BahrIII,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,NYC Criminal Ct - Bronx County,2025,,,,,,
Jung A Park,Criminal Court Judge NYC,ACT SUP CT JUS,2023-04-19,2032-12-31,New York,New York County Criminal Court,2023,,,,,,
Crystal R Villasenor,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,New York,New York County Family Court,2025,,,,,,
Verena C Powell,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,Bronx County Supreme Court,2022,,,,,,
Carrie A Phillips,City Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Erie,Buffalo City Court,2022,,,,,,
Ashlee Y Crawford,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York,"NYC Civil Ct, New York County",2020,,,,,,
Gregory J Johnston,City Court Judge,,2022-01-01,2031-12-31,Dutchess,Beacon City Court,2022,,,,,,
Carolina Holderness,Criminal Court Judge NYC,ACT SUP CT JUS,2021-12-31,2030-12-31,Kings,Kings Supreme Criminal,2021,,,,,,
Steven M Statsinger,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2032-12-31,New York,New York County Criminal Court,2013,,,,,,
Eve Cho Guillergan,Civil Court Judge NYC,,2026-01-01,2033-12-31,Queens,"NYC Civil Court, Queens County",2026,,,,,,
Richard A Tsai,Civil Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,New York,New York County Supreme Court,2018,,,,,,
Ilona B Coleman,Civil Court Judge NYC,,2025-01-01,2034-12-31,New York,New York County Criminal Court,2025,,,,,,
Giyang An,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,Bronx,Bronx County Supreme Court,2021,,,,,,
Elizabeth N Warin,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings,Kings Supreme Criminal,2015,,,,,,
Veronica M Gorman,Family Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Broome,Broome County Family Court,2022,,,,,,
Stephanie C Schwartz,Family Court Judge NYC,,2023-01-01,2032-12-31,New York,New York County Family Court,2021,,,,,,
Edward F Daniels,Criminal Court Judge NYC,,2024-04-04,2028-12-31,Kings,"NYC Criminal Ct, Kings County",2024,,,,,,
Mary E Porter,Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Suffolk,Suffolk County Family Court,2022,,,,,,
Rachel S Pauley,Criminal Court Judge NYC,ACT SUP CT JUS,2022-10-11,2031-12-31,New York,New York County Criminal Court,2021,,,,,,
Allison R Greenfield,Civil Court Judge NYC,,2025-01-01,2034-12-31,New York,"NYC Civil Ct, New York County",2025,,,,,,
Andrea H Schiavoni,Family Court Judge,,2020-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2020,,,,,,
Rita M Mella,Surrogate Court Judge,,2013-01-01,2026-12-31,New York,New York County Surrogate's Ct,2007,,,,,,
Maria Cubillos Reed,Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Monroe,Monroe County Supreme Court,2023,,,,,,
Ben DarvilJr,Family Court Judge NYC,ACT SUP CT JUS,2023-12-31,2033-12-30,Richmond,Richmond County Family Court,2016,Richmond,Family,,,,
Durin B Rogers,City Court Judge,,2020-01-01,2029-12-31,Genesee,Batavia City Court,2015,,,,,,
Devin R Robinson,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Kings,"NYC Criminal Ct, Kings County",2023,,,,,,
Zhuo Wang,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York,New York County Criminal Court,2018,,,,,,
Fatimat O Reid,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Monroe,Monroe County Supreme Court,2019,7,"CJ/Diversity,Equity,Inclusions",,,,
Christopher E Whitehair,Criminal Court Judge NYC,,2024-04-04,2028-12-31,Kings,"NYC Criminal Ct, Kings County",2024,,,,,,
Quynda L Santacroce,Criminal Court Judge NYC,ACT FAM CT JGE,2021-01-01,2030-12-31,Queens,Queens County Family Court,2019,,,,,,
Wendy Changyong Li,Civil Court Judge NYC,,2019-01-01,2028-12-31,New York,"NYC Civil Ct, New York County",2019,,,,,,
Oscar AQuintero Palacio,City Court Judge,,2026-01-01,2035-12-31,Schenectady,Schenectady City Court,2025,,,,,,
Madeline Singas,Associate Judge COA,,2021-06-08,2035-06-07,Nassau,Court of Appeals,2021,,,,,,
Ellen F Gesmer,,,,,New York,Appellate Division 1st Department,2012,,,"ASC JUS, AP DIV, TPCT",2021-06-15,2026-12-31,ADT/01/12
Michael D Kitsis,,,,,Kings,Kings Supreme,2025,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Catherine R Nugent,Supreme Court Justice,,2025-01-01,2034-12-31,Erie,8th Judicial District,2011,,,,,,
Nancy Quinn Koba,Supreme Court Justice,,2020-01-01,2030-12-31,Westchester,9th Judicial District,2020,,,,,,9/SJ/SUPREME
Lisa M Fisher,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2015-01-01,2028-12-31,Greene,3rd Judicial District,2015,,,,,,ADT/03/02
William J Giacomo,,,,,Westchester,9th Judicial District,2005,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,9/SJ/TOWN&VILLAGE
Adam D Perlmutter,Supreme Court Justice,,2025-01-01,2034-12-31,Kings,Kings Supreme,2025,,,,,,
Lisa A Sokoloff,Supreme Court Justice,,2023-01-01,2027-12-31,New York,NYC Supreme Civil,2023,,,,,,
Reginald A Boddie,Supreme Court Justice,,2017-01-01,2029-12-31,Kings,Kings Supreme,2017,,,,,,
Eric I Prus,Supreme Court Justice,,2019-01-01,2028-12-31,Kings,Kings Supreme,2005,,,,,,
Patrick F MacRae,,,2012-01-01,2022-12-31,Oneida,5th Judicial District,2012,,,"SUP CT JUS, CERT",2026-01-01,2028-12-31,05/CJ/CHILD VICTIM ACT
Mario A Giacobbe,Court of Claims Judge,SUP CT JUSTICE,2023-08-01,2032-07-31,Niagara,8th Judicial District,2023,,,,,,
Kathy G Bergmann,Supreme Court Justice,,2021-01-01,2026-12-31,Suffolk,10th Judicial District - Suffolk,2021,,,,,,
Jessica G EarleGargan,Supreme Court Justice,,2024-01-01,2037-12-31,Queens,Queens Supreme,2024,,,,,,
William K Taylor,Supreme Court Justice,ADMNV JGE,2016-01-01,2029-12-31,Monroe,7th Judicial District,2016,,,,,,AJ/07/SUP
Justin O Corcoran,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Albany,3rd Judicial District,2020,,,,,,ADT/03/08
Kyle C McGovern,Supreme Court Justice,,2025-01-01,2036-12-31,Orange,9th Judicial District,2025,,,,,,
Alison Y Tuitt,Supreme Court Justice,,2018-01-01,2031-12-31,Bronx,Bronx Supreme Civil,2004,,,,,,
Michele S Rodney,Court of Claims Judge,SUP CT JUSTICE,2018-06-20,2026-06-30,New York,NYC Supreme Criminal,2018,,,,,,
Cheryl E Chambers,,,,,Kings,Appellate Division 2nd Department,1999,,,"ASC JUS, AP DIV, TPCT",2022-01-01,2027-12-31,ADT/02/15
Kelly O'Neill Levy,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2017-01-01,2030-12-31,New York,Appellate Division 1st Department,2017,,,,,,ADT/01/13
Edmund M Dane,Supreme Court Justice,,2017-01-01,2027-12-31,Nassau,10th Judicial District - Nassau,2017,,,,,,
Kevin J Kerrigan,,,,,Queens,Queens Supreme,2007,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
David Friedman,,,,,New York,Appellate Division 1st Department,1998,,,"ASC JUS, AP DIV, TPCT",2021-06-15,2026-12-31,ADT/01/11
John Dillon,Supreme Court Justice,,2026-01-01,2035-12-31,Lewis,5th Judicial District,2026,,,,,,
Frances Y Wang,Supreme Court Justice,,2026-01-01,2039-12-31,Queens,Queens Supreme,2026,,,,,,
David F Everett,,,2019-01-01,2022-12-31,Westchester,9th Judicial District,2019,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Kevin M Nasca,Supreme Court Justice,,2020-01-01,2033-12-31,Monroe,7th Judicial District,2020,,,,,,
Ellen N Biben,Court of Claims Judge,ADMNV JGE,2018-08-27,2027-08-26,New York,NYC Supreme Criminal,2015,,,,,,AJ/NY/SUP/CR
Elizabeth A Burns,Court of Claims Judge,,2024-06-06,2027-08-26,Cortland,6th Judicial District,2024,,,,,,6/SJ/TOWN&VILLAGE
Craig S Walker,Supreme Court Justice,,2023-01-01,2035-12-31,Kings,Appellate Division 2nd Department,2023,,,,,,
Rory A McMahon,Supreme Court Justice,,2021-01-01,2034-12-31,Onondaga,5th Judicial District,2021,,,,,,
Patsy D Gouldborne,Supreme Court Justice,,2022-01-01,2035-12-31,Bronx,Bronx Supreme Civil,2022,,,,,,
Peter ValloneJr,Court of Claims Judge,SUP CT JUSTICE,2017-06-19,2022-12-31,Queens,Queens Supreme,2017,,,,,,
Stephen T Miller,Court of Claims Judge,SUP CT JUSTICE,2024-04-01,2033-03-31,Monroe,7th Judicial District,2022,,,,,,
Alexander M Tisch,Supreme Court Justice,"SUP CT JUS, DST 1 AT",2019-01-01,2032-12-31,New York,NYC Supreme Civil,2019,,,,,,ATM/01/0112/04
Peter Paul Sweeney,,,,,Kings,Kings Supreme,2017,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Joseph A McBride,Supreme Court Justice,,2019-01-01,2028-12-31,Broome,6th Judicial District,2019,,,,,,
Karen Lin,Supreme Court Justice,,2024-01-01,2037-12-31,Queens,Queens Supreme,2024,,,,,,
Fidel E Gomez,Supreme Court Justice,,2023-01-01,2036-12-31,Bronx,Bronx Supreme Civil,2023,,,,,,
Dennis E Ward,,,,,Niagara,8th Judicial District,2015,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,
John B Collins,,,,,Suffolk,10th Judicial District - Suffolk,2012,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Leslie A Stroth,Supreme Court Justice,,2024-01-01,2029-12-31,New York,NYC Supreme Civil,2024,,,,,,
Michael J Garcia,Associate Judge COA,,2016-02-08,2030-02-07,New York,Court of Appeals,2016,,,,,,
Laurentina M Butler,Supreme Court Justice,,2022-01-01,2031-12-31,Queens,Queens Supreme,2022,,,,,,
Verna L Saunders,Supreme Court Justice,,2018-01-01,2031-12-31,New York,NYC Supreme Civil,2018,,,,,,
Thomas E Moran,,,2012-01-01,2024-12-31,Monroe,7th Judicial District,2012,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
J Scott Odorisi,Court of Claims Judge,,2024-04-01,2033-03-31,Monroe,Court of Claims,2013,,,,,,
John B Licata,Supreme Court Justice,,2022-01-01,2035-12-31,Erie,8th Judicial District,2022,,,,,,8/SJ/SUPREME
John B GallagherJr,Supreme Court Justice,,2018-01-01,2031-12-31,Monroe,7th Judicial District,2018,,,,,,7/SJ/MATRIMONIAL
Bianka Perez,Supreme Court Justice,"SUP CT JUS, DST 12 AT",2021-01-01,2034-12-31,Bronx,Bronx Supreme Civil,2021,,,,,,ATM/01/0112/05
Francis Ricigliano,Supreme Court Justice,,2023-01-01,2036-12-31,Nassau,10th Judicial District - Nassau,2023,,,,,,
Devin P Cohen,Supreme Court Justice,,2019-01-01,2032-12-31,Kings,Kings Supreme,2019,,,,,,
Lisa A Cairo,Supreme Court Justice,,2023-01-01,2036-12-31,Nassau,10th Judicial District - Nassau,2023,,,,,,
Valerie M Cartright,Supreme Court Justice,,2021-01-01,2034-12-31,Suffolk,10th Judicial District - Suffolk,2021,,,,,,
Jonathan H Svetkey,,,,,New York,NYC Supreme Criminal,2025,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Martin D Auffredou,Supreme Court Justice,,2016-01-01,2029-12-31,Warren,4th Judicial District,2016,,,,,,
Linda K Mejias,Court of Claims Judge,,2021-06-08,2030-03-22,New York,Court of Claims,2021,,,,,,
Henry J NowakJr,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2025-01-01,2038-12-31,Erie,Appellate Division 4th Department,2011,,,,,,ADT/04/03
Peter A Lynch,,,,,Albany,3rd Judicial District,2019,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Deborah A Dowling,,"ASC JUS, AP DIV, TPCT",,,Kings,Appellate Division 2nd Department,1997,,,"ASC JUS, AP DIV, TPCT",2023-01-01,2028-12-31,ADT/02/09
Deborah H Karalunas,Supreme Court Justice,ADMNV JGE,2017-01-01,2026-12-31,Onondaga,5th Judicial District,2003,,,,,,AJ/05/SUP
James P McClusky,Supreme Court Justice,,2026-01-01,2032-12-31,Jefferson,5th Judicial District,2012,,,,,,5/CJ/ASBESTOS MATT
Marsha D Michael,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,New York,Bronx Supreme Criminal,2019,,,,,,ADT/01/15
Laura M Jordan,Supreme Court Justice,,2022-01-01,2035-12-31,Rensselaer,3rd Judicial District,2022,,,,,,
Jay Young Kim,Court of Claims Judge,,2025-06-10,2034-05-14,Bronx,Bronx Supreme Criminal,2025,,,,,,
Inga M O'Neale,Supreme Court Justice,,2025-01-01,2038-12-31,Kings,Kings Supreme,2025,,,,,,
Francois A Rivera,,,2011-01-01,2024-12-31,Kings,Kings Supreme,1997,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
E Jeannette Ogden,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2015-01-01,2026-12-31,Erie,Appellate Division 4th Department,2015,,,,,,ADT/04/02
Katherine A Levine,,,2017-01-01,2024-12-31,Kings,Kings Supreme,2017,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Linda S Jamieson,,,2017-01-01,2024-12-31,Westchester,9th Judicial District,2003,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Richard I Horowitz,Court of Claims Judge,SUP CT JUSTICE,2015-06-17,2022-12-31,Suffolk,10th Judicial District - Suffolk,2015,,,,,,
Joseph E Capella,Supreme Court Justice,ADMNV JGE,2018-01-01,2031-12-31,Bronx,Bronx Supreme Civil,2018,,,,,,AJ/BX/SUP/CV
Lara J Genovesi,Supreme Court Justice,"ASC JUS, AP DIV",2015-01-01,2028-12-31,Kings,Appellate Division 2nd Department,2015,,,,,,ADT/02/13
Mark A Cuthbertson,Supreme Court Justice,,2026-01-01,2037-12-31,Suffolk,10th Judicial District - Suffolk,2026,,,,,,
Scott A Dunn,Supreme Court Justice,,2024-01-01,2030-12-31,Queens,Queens Supreme,2024,,,,,,
Menachem M Mirocznik,Court of Claims Judge,,2025-06-10,2031-12-31,Kings,Kings Supreme,2025,,,,,,
James L Hyer,Supreme Court Justice,,2022-01-01,2035-12-31,Dutchess,9th Judicial District,2022,,,,,,
William G Ford,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2016-01-01,2026-12-31,Suffolk,Appellate Division 2nd Department,2016,,,,,,ADT/02/05
Richard Rivera,Supreme Court Justice,,2024-01-01,2035-12-31,Albany,3rd Judicial District,2024,,,,,,
Ann D Thompson,Supreme Court Justice,,2023-01-01,2036-12-31,New York,NYC Supreme Criminal,2023,,,,,,
Alexander B Jeong,Court of Claims Judge,SUP CT JUSTICE,2015-05-05,2022-12-31,Richmond,Richmond Supreme,2015,,,,,,
Karen Gopee,Supreme Court Justice,,2022-01-01,2035-12-31,Queens,Queens Supreme,2022,,,,,,
Darius K Lind,Supreme Court Justice,,2026-01-01,2039-12-31,Erie,8th Judicial District,2026,,,,,,
Suzanne J Adams,Supreme Court Justice,ADMNV JGE,2026-01-01,2039-12-31,New York,NYC Supreme Civil,2018,,,,,,AJ/NY/SUP/CV
Diane Y Devlin,,,,,Erie,8th Judicial District,2006,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Timothy P Mazzei,,,2021-01-01,2024-12-31,Suffolk,10th Judicial District - Suffolk,2021,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Dianne T Renwick,Supreme Court Justice,"PRES JUS, AP DIV",2016-01-01,2029-12-31,New York,Appellate Division 1st Department,2002,,,,,,ADP/01/01
Bronwyn BlackKelly,Supreme Court Justice,,2026-01-01,2029-12-31,Suffolk,10th Judicial District - Suffolk,2026,,,,,,
Soma S Syed,Supreme Court Justice,,2026-01-01,2039-12-31,Queens,Queens Supreme,2026,,,,,,
Mary Ann Brigantti,Supreme Court Justice,"SUP CT JUS, DST 12 AT",2019-01-01,2029-12-31,Bronx,Bronx Supreme Civil,2005,,,,,,ATM/01/0112/02
Manuel J Mendez,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2013-01-01,2026-12-31,New York,Appellate Division 1st Department,2013,,,,,,ADT/01/05
Richard J McNallyJr,Supreme Court Justice,,2014-01-01,2027-12-31,Rensselaer,3rd Judicial District,2014,,,,,,
Betty CalvoTorres,Court of Claims Judge,SUP CT JUSTICE,2022-06-02,2027-08-26,Erie,8th Judicial District,2022,,,,,,8/SJ/TOWN&VILLAGE
John P Bringewatt,Court of Claims Judge,SUP CT JUSTICE,2025-06-21,2032-07-31,Monroe,7th Judicial District,2025,,,,,,
Oliver N BlaiseIII,Supreme Court Justice,,2020-01-01,2033-12-31,Broome,6th Judicial District,2020,,,,,,
Deanna D Panico,Supreme Court Justice,,2025-01-01,2038-12-31,Suffolk,10th Judicial District - Suffolk,2025,,,,,,
Meagan Galligan,Supreme Court Justice,,2023-01-01,2036-12-31,Sullivan,3rd Judicial District,2023,,,,,,
Jerome C Murphy,,,2012-01-01,2023-12-31,Nassau,10th Judicial District - Nassau,2012,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Paul I Marx,,,,,Rockland,9th Judicial District,2012,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Seth M Marnin,Court of Claims Judge,,2023-08-14,2029-12-31,New York,Court of Claims,2023,,,,,,
Brian D Burns,Supreme Court Justice,,2021-01-01,2033-12-31,Otsego,6th Judicial District,2021,,,,,,
Vito M DeStefano,Supreme Court Justice,ADMNV JGE,2022-01-01,2035-12-31,Nassau,10th Judicial District - Nassau,2008,,,,,,AJ/NA/SUP
Timothy J Dufficy,,,,,Queens,Queens Supreme,2012,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Debra L Givens,Court of Claims Judge,SUP CT JUSTICE,2024-04-01,2026-12-31,Erie,8th Judicial District,2021,,,,,,
Nancy E Smith,,"ASC JUS, AP DIV, TPCT",,,Monroe,Appellate Division 4th Department,1997,,,"ASC JUS, AP DIV, TPCT",2025-01-01,2030-12-31,ADT/04/06
Linda J Kevins,,,,,Suffolk,10th Judicial District - Suffolk,2018,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Theresa M Ciccotto,Supreme Court Justice,,2021-01-01,2030-12-31,Kings,Kings Supreme,2021,,,,,,
Paul B Wojtaszek,Supreme Court Justice,,2015-01-01,2028-12-31,Erie,8th Judicial District,2015,,,,,,8/SJ/SUPERIOR CRIM CTS
Marissa Soto,Supreme Court Justice,,2022-01-01,2035-12-31,Bronx,Bronx Supreme Civil,2022,,,,,,
Michael A Frishman,Supreme Court Justice,,2024-01-01,2037-12-31,Bronx,Bronx Supreme Civil,2024,,,,,,
Elena M GoldbergVelazquez,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2023-01-01,2036-12-31,Westchester,Appellate Division 2nd Department,2023,,,,,,ADT/02/20
Shannon M Heneghan,Supreme Court Justice,,2026-01-01,2038-12-31,Erie,8th Judicial District,2026,,,,,,
John D Sampson,,,,,Erie,8th Judicial District,2015,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
David T Reilly,Supreme Court Justice,,2014-01-01,2027-12-31,Suffolk,10th Judicial District - Suffolk,2014,,,,,,
Dena E Douglas,Supreme Court Justice,,2022-01-01,2035-12-31,Kings,Kings Supreme,2022,,,,,,
Eddie J McShan,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Bronx,Bronx Supreme Civil,2019,,,,,,ADT/03/07
Barry E Warhit,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2026-12-31,Westchester,9th Judicial District,2019,,,,,,ADT/02/01
Peter H Moulton,Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2027-12-31,New York,Appellate Division 1st Department,2014,,,,,,ADT/01/14
Norman StGeorge,Supreme Court Justice,FIRST DEP CHF ADMIN JGE FOR COURTS,2019-01-01,2032-12-31,Nassau,10th Judicial District - Nassau,2019,,,,,,
Edwina G RichardsonMendelson,Court of Claims Judge,DEP CHF ADMNV JUST INIT,2024-04-01,2033-03-31,New York,Court of Claims,2017,,,,,,DCAJ/NYC/JUSINIT
Wilma Guzman,,,,,Bronx,Bronx Supreme Civil,2006,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Lyle E Frank,Supreme Court Justice,,2024-01-01,2037-12-31,New York,NYC Supreme Civil,2024,,,,,,
Kathleen B Hogan,Court of Claims Judge,SUP CT JUSTICE,2017-06-19,2022-01-22,Albany,Court of Claims,2017,,,,,,
Llinet M Rosado,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,New York,Appellate Division 1st Department,2019,,,,,,ADT/01/08
Gerald J GreenanIII,Supreme Court Justice,,2023-01-01,2033-12-31,Niagara,8th Judicial District,2023,,,,,,
Dakota D Ramseur,Supreme Court Justice,,2023-01-01,2036-12-31,New York,NYC Criminal Court,2023,,,,,,
Kim A Wilson,Supreme Court Justice,,2021-01-01,2026-12-31,Bronx,Bronx Supreme Civil,2021,,,,,,
Pamela L Fisher,Supreme Court Justice,,2016-01-01,2029-12-31,Kings,Kings Supreme,2016,,,,,,
Rhonda Z Tomlinson,Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2031-12-31,Kings,Kings Supreme,2021,,,,,,
Sharon AB Clarke,Supreme Court Justice,,2024-01-01,2033-12-31,Kings,Kings Supreme,2024,,,,,,
Gerald Lebovits,,,,,New York,NYC Supreme Civil,2025,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Alison J Napolitano,Supreme Court Justice,,2024-01-01,2037-12-31,Suffolk,10th Judicial District - Suffolk,2024,,,,,,
Daniel C Lynch,Supreme Court Justice,,2024-01-01,2037-12-31,Albany,3rd Judicial District,2024,,,,,,
Janice A Taylor,,"ASC JUS, AP DIV, TEMP",,,Queens,Appellate Division 2nd Department,1998,,,"ASC JUS, AP DIV, TPCT",2025-01-01,2030-12-31,ADT/02/06
Kathie E Davidson,,DEAN OF JI,2019-01-01,2024-12-31,Westchester,9th Judicial District,2019,,,,2025-01-01,2030-12-31,
Marguerite A Grays,Supreme Court Justice,ADMNV JGE,2017-01-01,2028-12-31,Queens,Queens Supreme,2003,,,,,,AJ/QN/SUP/CV
Deborah A Kaplan,Supreme Court Justice,,2026-01-01,2030-12-31,New York,NYC Supreme Civil,2012,,,,,,
Damaris E Torrent,Court of Claims Judge,SUP CT JUSTICE,2021-06-08,2022-12-31,Westchester,9th Judicial District,2021,,,,,,
Gina M LopezSumma,Court of Claims Judge,,2017-01-01,2025-12-31,Suffolk,Court of Claims,2006,,,,,,
Susan B HeckmanTorres,Supreme Court Justice,,2022-01-01,2035-12-31,Suffolk,10th Judicial District - Suffolk,2022,,,,,,
