statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
Supreme Court Justice,,2025-01-01,2038-12-31,Kings,Kings Supreme,2025,,,,,,,Inga M O'Neale
,,2011-01-01,2024-12-31,Kings,Kings Supreme,1997,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Francois A Rivera
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2015-01-01,2026-12-31,Erie,Appellate Division 4th Department,2015,,,,,,ADT/04/02,E Jeannette Ogden
,,2017-01-01,2024-12-31,Kings,Kings Supreme,2017,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Katherine A Levine
,,2017-01-01,2024-12-31,Westchester,9th Judicial District,2003,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Linda S Jamieson
Court of Claims Judge,SUP CT JUSTICE,2015-06-17,2022-12-31,Suffolk,10th Judicial District - Suffolk,2015,,,,,,,Richard I Horowitz
Supreme Court Justice,ADMNV JGE,2018-01-01,2031-12-31,Bronx,Bronx Supreme Civil,2018,,,,,,AJ/BX/SUP/CV,Joseph E Capella
Supreme Court Justice,"ASC JUS, AP DIV",2015-01-01,2028-12-31,Kings,Appellate Division 2nd Department,2015,,,,,,ADT/02/13,Lara J Genovesi
Supreme Court Justice,,2026-01-01,2037-12-31,Suffolk,10th Judicial District - Suffolk,2026,,,,,,,Mark A Cuthbertson
Supreme Court Justice,,2024-01-01,2030-12-31,Queens,Queens Supreme,2024,,,,,,,Scott A Dunn
Court of Claims Judge,,2025-06-10,2031-12-31,Kings,Kings Supreme,2025,,,,,,,Menachem M Mirocznik
Supreme Court Justice,,2022-01-01,2035-12-31,Dutchess,9th Judicial District,2022,,,,,,,James L Hyer
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2016-01-01,2026-12-31,Suffolk,Appellate Division 2nd Department,2016,,,,,,ADT/02/05,William G Ford
Supreme Court Justice,,2024-01-01,2035-12-31,Albany,3rd Judicial District,2024,,,,,,,Richard Rivera
Supreme Court Justice,,2023-01-01,2036-12-31,New York,NYC Supreme Criminal,2023,,,,,,,Ann D Thompson
Court of Claims Judge,SUP CT JUSTICE,2015-05-05,2022-12-31,Richmond,Richmond Supreme,2015,,,,,,,Alexander B Jeong
Supreme Court Justice,,2022-01-01,2035-12-31,Queens,Queens Supreme,2022,,,,,,,Karen Gopee
Supreme Court Justice,,2026-01-01,2039-12-31,Erie,8th Judicial District,2026,,,,,,,Darius K Lind
Supreme Court Justice,ADMNV JGE,2026-01-01,2039-12-31,New York,NYC Supreme Civil,2018,,,,,,AJ/NY/SUP/CV,Suzanne J Adams
,,,,Erie,8th Judicial District,2006,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Diane Y Devlin
,,2021-01-01,2024-12-31,Suffolk,10th Judicial District - Suffolk,2021,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Timothy P Mazzei
Supreme Court Justice,"PRES JUS, AP DIV",2016-01-01,2029-12-31,New York,Appellate Division 1st Department,2002,,,,,,ADP/01/01,Dianne T Renwick
Supreme Court Justice,,2026-01-01,2029-12-31,Suffolk,10th Judicial District - Suffolk,2026,,,,,,,Bronwyn BlackKelly
Supreme Court Justice,,2026-01-01,2039-12-31,Queens,Queens Supreme,2026,,,,,,,Soma S Syed
Supreme Court Justice,"SUP CT JUS, DST 12 AT",2019-01-01,2029-12-31,Bronx,Bronx Supreme Civil,2005,,,,,,ATM/01/0112/02,Mary Ann Brigantti
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2013-01-01,2026-12-31,New York,Appellate Division 1st Department,2013,,,,,,ADT/01/05,Manuel J Mendez
Supreme Court Justice,,2014-01-01,2027-12-31,Rensselaer,3rd Judicial District,2014,,,,,,,Richard J McNallyJr
Court of Claims Judge,SUP CT JUSTICE,2022-06-02,2027-08-26,Erie,8th Judicial District,2022,,,,,,8/SJ/TOWN&VILLAGE,Betty CalvoTorres
Court of Claims Judge,SUP CT JUSTICE,2025-06-21,2032-07-31,Monroe,7th Judicial District,2025,,,,,,,John P Bringewatt
Supreme Court Justice,,2020-01-01,2033-12-31,Broome,6th Judicial District,2020,,,,,,,Oliver N BlaiseIII
Supreme Court Justice,,2025-01-01,2038-12-31,Suffolk,10th Judicial District - Suffolk,2025,,,,,,,Deanna D Panico
Supreme Court Justice,,2023-01-01,2036-12-31,Sullivan,3rd Judicial District,2023,,,,,,,Meagan Galligan
,,2012-01-01,2023-12-31,Nassau,10th Judicial District - Nassau,2012,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,,Jerome C Murphy
,,,,Rockland,9th Judicial District,2012,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Paul I Marx
Court of Claims Judge,,2023-08-14,2029-12-31,New York,Court of Claims,2023,,,,,,,Seth M Marnin
Supreme Court Justice,,2021-01-01,2033-12-31,Otsego,6th Judicial District,2021,,,,,,,Brian D Burns
Supreme Court Justice,ADMNV JGE,2022-01-01,2035-12-31,Nassau,10th Judicial District - Nassau,2008,,,,,,AJ/NA/SUP,Vito M DeStefano
,,,,Queens,Queens Supreme,2012,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,,Timothy J Dufficy
Court of Claims Judge,SUP CT JUSTICE,2024-04-01,2026-12-31,Erie,8th Judicial District,2021,,,,,,,Debra L Givens
,"ASC JUS, AP DIV, TPCT",,,Monroe,Appellate Division 4th Department,1997,,,"ASC JUS, AP DIV, TPCT",2025-01-01,2030-12-31,ADT/04/06,Nancy E Smith
,,,,Suffolk,10th Judicial District - Suffolk,2018,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Linda J Kevins
Supreme Court Justice,,2021-01-01,2030-12-31,Kings,Kings Supreme,2021,,,,,,,Theresa M Ciccotto
Supreme Court Justice,,2015-01-01,2028-12-31,Erie,8th Judicial District,2015,,,,,,8/SJ/SUPERIOR CRIM CTS,Paul B Wojtaszek
Supreme Court Justice,,2022-01-01,2035-12-31,Bronx,Bronx Supreme Civil,2022,,,,,,,Marissa Soto
Supreme Court Justice,,2024-01-01,2037-12-31,Bronx,Bronx Supreme Civil,2024,,,,,,,Michael A Frishman
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2023-01-01,2036-12-31,Westchester,Appellate Division 2nd Department,2023,,,,,,ADT/02/20,Elena M GoldbergVelazquez
Supreme Court Justice,,2026-01-01,2038-12-31,Erie,8th Judicial District,2026,,,,,,,Shannon M Heneghan
,,,,Erie,8th Judicial District,2015,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,John D Sampson
Supreme Court Justice,,2014-01-01,2027-12-31,Suffolk,10th Judicial District - Suffolk,2014,,,,,,,David T Reilly
Supreme Court Justice,,2022-01-01,2035-12-31,Kings,Kings Supreme,2022,,,,,,,Dena E Douglas
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Bronx,Bronx Supreme Civil,2019,,,,,,ADT/03/07,Eddie J McShan
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2026-12-31,Westchester,9th Judicial District,2019,,,,,,ADT/02/01,Barry E Warhit
Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2027-12-31,New York,Appellate Division 1st Department,2014,,,,,,ADT/01/14,Peter H Moulton
Supreme Court Justice,FIRST DEP CHF ADMIN JGE FOR COURTS,2019-01-01,2032-12-31,Nassau,10th Judicial District - Nassau,2019,,,,,,,Norman StGeorge
Court of Claims Judge,DEP CHF ADMNV JUST INIT,2024-04-01,2033-03-31,New York,Court of Claims,2017,,,,,,DCAJ/NYC/JUSINIT,Edwina G RichardsonMendelson
,,,,Bronx,Bronx Supreme Civil,2006,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,,Wilma Guzman
Supreme Court Justice,,2024-01-01,2037-12-31,New York,NYC Supreme Civil,2024,,,,,,,Lyle E Frank
Court of Claims Judge,SUP CT JUSTICE,2017-06-19,2022-01-22,Albany,Court of Claims,2017,,,,,,,Kathleen B Hogan
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,New York,Appellate Division 1st Department,2019,,,,,,ADT/01/08,Llinet M Rosado
Supreme Court Justice,,2023-01-01,2033-12-31,Niagara,8th Judicial District,2023,,,,,,,Gerald J GreenanIII
Supreme Court Justice,,2023-01-01,2036-12-31,New York,NYC Criminal Court,2023,,,,,,,Dakota D Ramseur
Supreme Court Justice,,2021-01-01,2026-12-31,Bronx,Bronx Supreme Civil,2021,,,,,,,Kim A Wilson
Supreme Court Justice,,2016-01-01,2029-12-31,Kings,Kings Supreme,2016,,,,,,,Pamela L Fisher
Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2031-12-31,Kings,Kings Supreme,2021,,,,,,,Rhonda Z Tomlinson
Supreme Court Justice,,2024-01-01,2033-12-31,Kings,Kings Supreme,2024,,,,,,,Sharon AB Clarke
,,,,New York,NYC Supreme Civil,2025,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Gerald Lebovits
Supreme Court Justice,,2024-01-01,2037-12-31,Suffolk,10th Judicial District - Suffolk,2024,,,,,,,Alison J Napolitano
Supreme Court Justice,,2024-01-01,2037-12-31,Albany,3rd Judicial District,2024,,,,,,,Daniel C Lynch
,"ASC JUS, AP DIV, TEMP",,,Queens,Appellate Division 2nd Department,1998,,,"ASC JUS, AP DIV, TPCT",2025-01-01,2030-12-31,ADT/02/06,Janice A Taylor
,DEAN OF JI,2019-01-01,2024-12-31,Westchester,9th Judicial District,2019,,,,2025-01-01,2030-12-31,,Kathie E Davidson
Supreme Court Justice,ADMNV JGE,2017-01-01,2028-12-31,Queens,Queens Supreme,2003,,,,,,AJ/QN/SUP/CV,Marguerite A Grays
Supreme Court Justice,,2026-01-01,2030-12-31,New York,NYC Supreme Civil,2012,,,,,,,Deborah A Kaplan
Court of Claims Judge,SUP CT JUSTICE,2021-06-08,2022-12-31,Westchester,9th Judicial District,2021,,,,,,,Damaris E Torrent
Court of Claims Judge,,2017-01-01,2025-12-31,Suffolk,Court of Claims,2006,,,,,,,Gina M LopezSumma
Supreme Court Justice,,2022-01-01,2035-12-31,Suffolk,10th Judicial District - Suffolk,2022,,,,,,,Susan B HeckmanTorres
Court of Claims Judge,SUP CT JUSTICE,2020-07-23,2028-05-29,Bronx,Bronx Supreme Civil,2020,,,,,,,Veronica G Hummel
,,2021-01-01,2023-12-31,Kings,Kings Supreme,2021,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,,Carolyn E Wade
,,,,Westchester,9th Judicial District,2018,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,9/SJ/SUPERIOR CIM CTS,James A McCartyJr
Court of Claims Judge,SUP CT JUSTICE,2023-01-01,2031-12-31,Nassau,10th Judicial District - Nassau,2022,,,,,,,Maureen Mchugh Heitner
Supreme Court Justice,,2015-01-01,2028-12-31,Erie,8th Judicial District,2001,,,,,,,Donna M Siwek
Supreme Court Justice,,2023-01-01,2036-12-31,Kings,Kings Supreme,2023,,,,,,,Dweynie E Paul
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2022-01-01,2026-12-31,New York,Appellate Division 1st Department,2022,,,,,,ADT/01/16,Margaret A Chan
Supreme Court Justice,,2025-01-01,2039-12-31,New York,NYC Supreme Civil,2025,,,,,,,Judy H Kim
Supreme Court Justice,,2025-01-01,2026-12-31,Queens,Queens Supreme,2025,,,,,,,Sandra M Munoz
Supreme Court Justice,,2019-01-01,2028-12-31,Onondaga,5th Judicial District,2019,,,,,,5/SJ/TOWN&VILLAGE,Gerard J Neri
Supreme Court Justice,,2023-01-01,2034-12-31,Kings,Kings Supreme,2023,,,,,,,Cenceria P Edwards
Supreme Court Justice,"SUP CT JUS, DST 9 AT",2014-01-01,2027-12-31,Orange,9th Judicial District,2014,,,,,,ATM/02/0910/02,Maria S VazquezDoles
Supreme Court Justice,,2022-01-01,2032-12-31,Dutchess,9th Judicial District,2022,,,,,,,Thomas R Davis
Supreme Court Justice,,2017-01-01,2030-12-31,New York,NYC Criminal Court,2017,,,,,,,Erika M Edwards
Supreme Court Justice,,2026-01-01,2039-12-31,Onondaga,5th Judicial District,2026,,,,,,,Elizabeth S Fortino
Supreme Court Justice,,2026-01-01,2036-12-31,Westchester,9th Judicial District,2026,,,,,,,Diane M Clerkin
Court of Claims Judge,,2024-06-06,2031-12-31,Essex,4th Judicial District,2024,,,,,,,Amy N Quinn
Supreme Court Justice,,2021-01-01,2034-12-31,New York,NYC Supreme Civil,2021,,,,,,,Melissa A Crane
,,2025-01-01,2025-12-31,Nassau,10th Judicial District - Nassau,2025,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Terence P Murphy
Supreme Court Justice,,2015-01-01,2028-12-31,Nassau,10th Judicial District - Nassau,2015,,,,,,,Sharon MJ Gianelli
Supreme Court Justice,,2013-01-01,2026-12-31,Dutchess,9th Judicial District,2013,,,,,,,Maria G Rosa
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2026-01-01,2035-12-31,Kings,Appellate Division 2nd Department,2012,,,,,,ADT/02/17,Carl J Landicino
Supreme Court Justice,,2026-01-01,2039-12-31,Kings,Kings Supreme,2026,,,,,,,Maria Aragona
,,2024-06-06,2024-12-31,New York,NYC Supreme Criminal,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Laura A Ward
Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2034-03-30,Albany,Court of Claims,2006,,,,,,,James H Ferreira
Supreme Court Justice,,2019-01-01,2028-12-31,Richmond,Richmond Supreme,2019,,,,,,,Ralph J Porzio
Supreme Court Justice,,2026-01-01,2036-12-31,Queens,Queens Supreme,2026,,,,,,,Sandra Perez
Supreme Court Justice,,2019-01-01,2032-12-31,Queens,Queens Supreme,2019,,,,,,,Ushir PanditDurant
Supreme Court Justice,,2023-01-01,2036-12-31,Kings,Kings Supreme,2023,,,,,,,Patria FriasColon
Supreme Court Justice,"ASC JUS, AP DIV",2022-01-01,2031-12-31,Broome,6th Judicial District,2008,,,,,,ADP/03/03,Molly R Fitzgerald
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2027-12-31,Onondaga,5th Judicial District,2004,,,,,,ADT/04/04,Donald A Greenwood
,,,,Suffolk,10th Judicial District - Suffolk,2025,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,James F Matthews
,,,,Onondaga,5th Judicial District,2020,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Joseph E Lamendola
Supreme Court Justice,,2024-01-01,2028-12-31,Nassau,10th Judicial District - Nassau,2024,,,,,,,Christopher T McGrath
Supreme Court Justice,,2019-01-01,2031-12-31,New York,NYC Supreme Civil,2019,,,,,,,Lynn R Kotler
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,New York,Appellate Division 1st Department,2018,,,,,,ADT/01/10,John R Higgitt
Supreme Court Justice,ADMNV JGE,2025-01-01,2034-12-31,Suffolk,10th Judicial District - Suffolk,2011,,,,,,AJ/SF/SUP,Andrew A Crecca
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2023-01-01,2036-12-31,Kings,Appellate Division 2nd Department,2023,,,,,,ADT/02/19,Susan Quirk
Supreme Court Justice,,2025-01-01,2038-12-31,Bronx,Bronx Supreme Civil,2025,,,,,,,Matthew P Raso
Supreme Court Justice,,2023-01-01,2036-12-31,Ulster,3rd Judicial District,2023,,,,,,,Sharon A Graff
Supreme Court Justice,,2026-01-01,2033-12-31,Kings,Kings Supreme,2026,,,,,,,Claudia Daniels DePeyster
Supreme Court Justice,,2026-01-01,2031-12-31,Queens,Queens Supreme,2021,,,,,,,Gary F Miret
Supreme Court Justice,ADMNV JGE,2014-01-01,2027-12-31,Broome,6th Judicial District,2014,,,,,,AJ/06/SUP,Eugene D Faughnan
Supreme Court Justice,,2020-01-01,2033-12-31,Orange,9th Judicial District,2020,,,,,,,Gina C Capone
Court of Claims Judge,SUP CT JUSTICE,2023-06-09,2031-12-31,Bronx,Court of Claims,2023,,,,,,,Kim M Parker
Supreme Court Justice,"ASC JUS, AP DIV",2026-01-01,2039-12-31,Kings,Appellate Division 2nd Department,1998,,,,,,ADP/02/06,Betsy Barros
,,,,Suffolk,10th Judicial District - Suffolk,2019,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Marian R Tinari
Court of Claims Judge,SUP CT JUSTICE,2014-01-01,2022-12-31,Kings,Kings Supreme,2006,,,,,,,Dineen A Riviezzo
Court of Claims Judge,SUP CT JUSTICE,2025-06-11,2034-05-14,Albany,3rd Judicial District,2025,,,,,,,Noel Mendez
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2022-01-01,2035-12-31,Kings,Kings Supreme,2022,,,,,,ADT/02/12,Lillian Wan
,,2016-01-01,2024-12-31,Nassau,10th Judicial District - Nassau,2016,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Robert A McDonald
Supreme Court Justice,,2021-01-01,2033-12-31,Nassau,10th Judicial District - Nassau,2021,,,,,,,Erica L Prager
Supreme Court Justice,,2022-01-01,2035-12-31,Richmond,Richmond Supreme,2022,,,,,,,Paul MarroneJr
Supreme Court Justice,,2023-01-01,2036-12-31,Onondaga,7th Judicial District,2023,,,,,,7/SJ/TOWN&VILLAGE,Jason L Cook
Supreme Court Justice,,2025-01-01,2030-12-31,Suffolk,10th Judicial District - Suffolk,2025,,,,,,,Paul E Hennings
Supreme Court Justice,,2017-01-01,2030-12-31,Westchester,9th Judicial District,2017,,,,,,,Doris M Gonzalez
Supreme Court Justice,,2022-01-01,2035-12-31,Erie,8th Judicial District,2022,,,,,,,Raymond W Walter
Supreme Court Justice,,2020-01-01,2033-12-31,Saratoga,4th Judicial District,2020,,,,,,,James E WalshSr
Supreme Court Justice,,2019-01-01,2026-12-31,Kings,Kings Supreme,2019,,,,,,,Ingrid Joseph
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2021-01-01,2033-12-31,Monroe,Appellate Division 4th Department,2007,,,,,,ADT/04/05,Stephen K Lindley
Court of Claims Judge,,2022-06-02,2027-06-30,Albany,Court of Claims,2022,,,,,,,Zainab Chaudhry
Supreme Court Justice,,2024-01-01,2037-12-31,Albany,3rd Judicial District,2024,,,,,,,Sherri J BrooksMorton
Supreme Court Justice,,2016-01-01,2029-12-31,New York,NYC Supreme Civil,2016,,,,,,,Arlene P Bluth
Supreme Court Justice,,2017-01-01,2028-12-31,Erie,8th Judicial District,2017,,,,,,8/SJ/MATRIMONIAL,Mary L Slisz
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Queens,Appellate Division 2nd Department,2020,,,,,,ADT/02/08,Lourdes M Ventura
Court of Claims Judge,,2024-04-01,2033-03-31,Saratoga,Court of Claims,2023,,,,,,,Brian R Haak
,,,,Westchester,9th Judicial District,2017,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Walter Rivera
,,2021-01-01,2023-12-31,Queens,Queens Supreme,2010,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,,Leonard Livote
Court of Claims Judge,SUP CT JUSTICE,2014-08-01,2023-07-31,New York,NYC Supreme Criminal,2007,,,,,,,Daniel P Conviser
Supreme Court Justice,"ASC JUS, AP DIV",2013-01-01,2026-12-31,New York,Appellate Division 1st Department,2013,,,,,,ADP/01/05,Saliann Scarpulla
Supreme Court Justice,,2016-01-01,2029-12-31,Bronx,Bronx Supreme Civil,2016,,,,,,,Mitchell J Danziger
Court of Claims Judge,,2014-08-01,2023-07-31,Albany,Court of Claims,2006,,,,,,,Walter B Debow
Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2026-12-31,Washington,4th Judicial District,2014,,,,,,ADT/03/03,Stanley L Pritzker
,"SUP CT JUS, DST 10 AT",,,Suffolk,10th Judicial District - Suffolk,2019,,,"SUP CT JUS, CERT AT",2024-01-01,2029-12-31,ATM/02/0910/04,Maureen T Liccione
,,,,Queens,Queens Supreme,2004,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Michael B Aloise
Supreme Court Justice,,2023-01-01,2026-12-31,Kings,Kings Supreme,2023,,,,,,,Anne J Swern
Supreme Court Justice,,2025-01-01,2027-12-31,Queens,Queens Supreme,2025,,,,,,,Andrea S Ogle
Supreme Court Justice,,2014-01-01,2027-12-31,Bronx,Bronx Supreme Civil,2000,,,,,,,Laura G Douglas
Court of Claims Judge,,2023-08-01,2032-07-31,New York,Court of Claims,2023,,,,,,,Ruth E Shillingford
Supreme Court Justice,"ASC JUS, AP DIV",2020-01-01,2030-12-31,Nassau,Appellate Division 2nd Department,2006,,,,,,ADP/02/04,Angela G Iannacci
Supreme Court Justice,,2025-01-01,2033-12-31,Kings,Kings Supreme,2025,,,,,,,Sharen D Hudson
Supreme Court Justice,,2023-01-01,2036-12-31,Erie,8th Judicial District,2023,,,,,,,Joseph C Lorigo
Supreme Court Justice,,2022-01-01,2035-12-31,Monroe,7th Judicial District,2022,,,,,,,Elena F Cariola
Supreme Court Justice,,2023-01-01,2027-12-31,Westchester,9th Judicial District,2023,,,,,,,David S Zuckerman
,,2024-01-01,2024-12-31,Rockland,9th Judicial District,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Larry J Schwartz
,,,,Sullivan,3rd Judicial District,2013,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,,Stephan Schick
,,2015-01-01,2025-12-31,Suffolk,10th Judicial District - Suffolk,2001,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,SUF/SJ/SUPREME,Thomas F Whelan
,,2022-01-01,2025-12-31,Kings,Kings Supreme,2022,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Richard J Montelione
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2016-01-01,2029-12-31,Nassau,Appellate Division 2nd Department,2016,,,,,,ADT/02/14,James P McCormack
Supreme Court Justice,,2025-01-01,2038-12-31,Monroe,7th Judicial District,2025,,,,,,7/SJ/FAMILY,Stacey Romeo
,,,,Richmond,Richmond Supreme,2020,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,,Orlando MarrazzoJr
,,,,Monroe,7th Judicial District,2013,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Gail Donofrio
Supreme Court Justice,,2013-01-01,2026-12-31,Nassau,10th Judicial District - Nassau,2013,,,,,,,Leonard D Steinman
Supreme Court Justice,,2026-01-01,2029-12-31,Kings,Kings Supreme,2026,,,,,,,Jill R Epstein
Court of Claims Judge,SUP CT JUSTICE,2023-01-01,2030-12-31,Bronx,Bronx Supreme Criminal,2022,,,,,,,Timothy Lewis
Supreme Court Justice,ADMNV JGE,2021-01-01,2034-12-31,Erie,8th Judicial District,2021,,,,,,AJ/08/SUP,Amy C Martoche
Supreme Court Justice,,2019-01-01,2029-12-31,Queens,Queens Supreme,2019,,,,,,,Robert I Caloras
Supreme Court Justice,,2020-01-01,2030-12-31,Cortland,6th Judicial District,2020,,,,,,,Mark G Masler
Supreme Court Justice,"ASC JUS, AP DIV",2016-01-01,2029-12-31,New York,Appellate Division 1st Department,2002,,,,,,ADP/01/02,Sallie Manzanet
Supreme Court Justice,,2019-01-01,2032-12-31,Monroe,7th Judicial District,2019,,,,,,,Victoria M Argento
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Queens,Appellate Division 2nd Department,2020,,,,,,ADT/02/18,Phillip Hom
Supreme Court Justice,,2020-01-01,2033-12-31,Queens,Queens Supreme,2020,,,,,,,Maurice E Muir
,,,,Putnam,9th Judicial District,2014,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,9/SJ/MATRIMONIAL,Victor G Grossman
Court of Claims Judge,SUP CT JUSTICE,2014-01-01,2022-12-31,New York,NYC Supreme Criminal,2002,,,,,,,Gregory Carro
Court of Claims Judge,,2019-06-20,2019-12-01,Albany,Court of Claims,2019,,,,,,,Catherine E LeahyScott
Supreme Court Justice,,2022-01-01,2032-12-31,New York,NYC Supreme Criminal,2022,,,,,,,John J Kelley
Supreme Court Justice,,2015-01-01,2027-12-31,New York,NYC Supreme Civil,2015,,,,,,,Kathy J King
Supreme Court Justice,,2020-01-01,2027-12-31,Erie,8th Judicial District,2006,,,,,,,Deborah A Haendiges
Supreme Court Justice,,2022-01-01,2030-12-31,Westchester,9th Judicial District,2022,,,,,,,Thomas Quinones
Supreme Court Justice,"ASC JUS, AP DIV",2024-01-01,2034-12-31,Bronx,Appellate Division 3rd Department,2010,,,,,,ADP/03/04,Sharon AM Aarons
Supreme Court Justice,,2024-01-01,2034-12-31,Bronx,Bronx Supreme Criminal,2024,,,,,,,John HowardAlgarin
Supreme Court Justice,,2016-01-01,2029-12-31,St. Lawrence,4th Judicial District,2016,,,,,,4/SJ/SUPREME,Mary M Farley
Supreme Court Justice,,2016-01-01,2029-12-31,Monroe,7th Judicial District,2016,,,,,,,Judith A Sinclair
Court of Claims Judge,,2025-06-25,2033-07-11,Erie,Court of Claims,2025,,,,,,,Monica P Wallace
Supreme Court Justice,,2024-01-01,2035-12-31,Kings,Kings Supreme,2024,,,,,,,Rachel Freier
Supreme Court Justice,"PRES JUS, AP DIV",2023-01-01,2036-12-31,Suffolk,Appellate Division 2nd Department,2009,,,,,,ADP/02/01,Hector D LaSalle
Court of Claims Judge,SUP CT JUSTICE,2023-06-09,2031-12-31,Queens,Queens Supreme,2023,,,,,,,Nicole A McGregorMundy
,,2023-01-01,2024-12-31,Kings,Kings Supreme,2023,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Cheryl J Gonzales
Supreme Court Justice,,2018-01-01,2028-12-31,New York,NYC Supreme Civil,2018,,,,,,,Nancy M Bannon
Supreme Court Justice,,2024-01-01,2037-12-31,Westchester,9th Judicial District,2010,,,,,,,Charles D Wood
Supreme Court Justice,,2021-01-01,2030-12-31,Westchester,9th Judicial District,2021,,,,,,,Robert S Ondrovic
Court of Claims Judge,SUP CT JUSTICE,2021-06-08,2028-04-28,Nassau,10th Judicial District - Nassau,2021,,,,,,,Philippe SolagesJr
Supreme Court Justice,,2022-01-01,2035-12-31,Ulster,3rd Judicial District,2022,,,,,,,David Gandin
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,New York,Appellate Division 1st Department,2020,,,,,,ADT/01/09,Bahaati ET Pitt
,,2024-06-06,2024-12-31,Nassau,10th Judicial District - Nassau,2006,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Denise L Sher
,,2021-01-01,2023-12-31,Nassau,10th Judicial District - Nassau,2021,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,,Gary F Knobel
Supreme Court Justice,,2017-01-01,2028-12-31,Nassau,10th Judicial District - Nassau,2017,,,,,,,Joseph H Lorintz
Supreme Court Justice,,2023-01-01,2027-12-31,Kings,Kings Supreme,2008,,,,,,,Ellen M Spodek
Court of Claims Judge,,2025-06-10,2034-05-14,Bronx,Bronx Supreme Civil,2025,,,,,,,Erin N Guven
Supreme Court Justice,,2022-01-01,2035-12-31,Kings,Kings Supreme,2022,,,,,,,Carolyn WalkerDiallo
,,2022-01-01,2023-12-31,Bronx,Bronx Supreme Criminal,2008,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,,George R Villegas
Supreme Court Justice,,2023-01-01,2034-12-31,Kings,Kings Supreme,2009,,,,,,,Richard Velasquez
Supreme Court Justice,,2026-01-01,2039-12-31,Rockland,9th Judicial District,2026,,,,,,,John P Collins
Supreme Court Justice,,2024-01-01,2037-12-31,Kings,Kings Supreme,2024,,,,,,,Caroline H Piela
